video_id,views,dislikes,likes,comment_count
kKynkBpbYwA,7401,4,449,58
FcFTp-l5KRc,4745,9,408,248
2CmSp9PMvlI,15449,17,286,135
s-qLpBxSaFE,512134,223,15583,1279
hDgNN3bsg9U,1158044,1294,90946,2509
PvfemFWhlk4,36650,30,5700,677
6a7yfIWP12M,23099,52,1677,186
szZfT8UAW2g,2123534,1163,17596,3833
M2NTLHBAN6I,19399,22,329,56
1m5hUp_hxTM,628803,446,3310,408
GTCv7HI1ecE,2652,2,53,2
XPBTmLKdV9Y,55792,58,368,94
7J1KU_bVipo,38678,81,2896,1162
1EW1MRA98cc,6246,12,569,49
L4tgymuBGKI,6174,12,366,47
NKiYqcxgr4k,53161,76,3156,409
Bei6qjDWoko,63941,36,265,50
N7a7SXVkW4I,301809,206,694,508
kyD2uvgoyKM,386232,455,42700,3730
23Gmg3JmbPo,9280,11,242,102
6Rl7fQQRmtg,3140961,11542,115164,17129
IQmPNuf6Cl8,23350,59,1212,563
5XfoaIAg4MQ,193679,235,5963,760
5kKrNynO_YE,4857,1,226,488
uFAJSMz_Y0E,217031,152,1675,309
Frb6FaDfNxg,38774,11,397,62
aB-UKwO367s,3922298,12466,129154,38382
xg4pltyQ7HE,63686,71,3094,1776
ULBVgLYXSL8,19481,2,20,10
Zv_Pf0eWhgs,727611,245,4152,382
07JQ4WZJIbg,89872,90,431,93
sJBAOvkmbNU,10529,0,0,5
eEBx5KHWnYE,148668,266,1137,1433
dKY16VKEBLA,2421,2,355,42
5j7wgKywdnc,15988,8,177,4
ZTTGGlK2AAk,579319,491,38160,2210
01pnvqL51iE,8698,59,124,159
nikJ-IQUG5o,3575,9,167,5
bkUtLgiolCY,260175,351,16485,831
oI42BohDabU,5026544,2871,139349,5097
fzXvRdGZCl0,7110,10,74,0
2AkE49hZfr4,721270,1401,25232,1750
YOPbPj36AWc,1754618,2779,8266,3011
ZeloaeRsan8,156861,93,1672,664
K1RTnvZ-bRk,10170,18,24,56
8DR0RhpKp2k,208474,149,337,124
bEJMTFi27iQ,164616,166,609,24
2UmRhLA3Qzk,118916,325,2868,7
0QOPb9DlOfY,121157,110,1951,188
ZzRrihP-Ej0,313657,2438,11944,1057
Rwo--admwwc,89407,59,598,184
1wRjChsxTeo,39461,36,387,83
lsRmW22mnrU,283091,634,22272,5038
gzFyIGngHMM,3944,8,289,60
F6Hzna55ztw,189047,59,5329,412
bDk2gdRWB0A,22384,7,3649,183
70uvmZj09OI,8802,9,95,51
aXVipZp06V4,102435,235,4149,1051
qPg5GTUdxjs,412584,572,5253,1355
Z4UJPI7Z7rQ,6551,1,79,22
L3ymBk6Vb04,8408515,3817,331934,12519
Xe53gFvlUD4,4834039,3285,72531,3010
07w3u8iLa-s,344639,816,12811,2606
mh2AEjCozvY,10323,10,73,29
Ga93nkc3crA,6337,6,520,0
kDVMAIGZvvw,385595,334,5008,476
j0wNmlnHk4M,686369,258,17883,1311
X7SYxVw-Ubw,4134,5,62,5
EiewgZuObgk,375812,490,16147,417
JPp-oLkQPQQ,269999,139,16594,771
342Cqk9ew58,160571,1287,1646,985
oWjxSkJpxFU,26703269,545595,2061275,704824
B_oRfnvLMF8,309545,252,2890,415
D6r4ZH1ByoI,28350,23,3242,502
8oEljR2f040,27419,30,2898,197
fABSffnIhrk,973471,366,7300,2513
0q9Cm11d-fE,32336,212,182,1036
GBhrvR838Ag,171463,708,1254,1173
V64izKR5BR4,272139,34,1248,95
LTLbFbKdNfg,67433,21,2085,195
OJl77JPxlVU,1828,43,88,17
VVWpOrDLD9M,1456978,8034,136409,29691
vrq9Yl5lZOw,450471,593,4958,1152
nMQkLiBFKOc,120991,116,4724,790
YB2C9IEMFGs,142784,124,5084,254
zBp7jI4WskM,28686,27,1350,40
bH6HSE23NFk,3929,12,295,24
MUz0bezT0f0,826246,18566,40469,4983
1LpHzzelA64,1467507,520,34755,3504
X6NyvN4ZTik,31969,65,216,56
o98T2GQKgsI,9737,70,29,317
rp27Ggo_edo,538855,659,10714,1425
Y3izL7uMGVg,3809,9,269,64
goKi8zLga4I,6251,9,35,18
puWWUSMJ3Oo,171022,139,2137,278
epWfEVGXpRw,147634,131,2905,416
4lTwDI_j6Ao,125586,1004,2461,1088
Al-NNStoXAM,1034185,600,34017,3850
ro2Chts2H5A,371353,222,4288,1536
